,Word,Count
1162,rezeki,6
1163,tetanga,78
1164,sgr,16
1165,akomodasi,12
1166,untuk,42
1167,154,4
1168,rsal,1
1169,mintoharjo,1
1170,kamar,40
1171,hotel,63
1172,le,14
1173,meridien,1
1174,mengluarkan,2
1175,pandemic,151
1176,tangerang,307
1177,website,96
1178,kotatangerang,47
1179,updatecorona,61
1180,waspadabolehpanikjangan,46
1181,buletinusantara,17
1182,aktif,168
1183,pacar,206
1184,transmisi,36
1185,nasionalispiritual,1
1186,mau,96
1187,pelan,38
1188,simak,259
1189,pesan,223
1190,via,475
1191,kemensetnegri,9
1192,medialawancovid19,25
1193,bpkemenkeu,8
1194,berakti,1
1195,murni,29
1196,krisis,268
1197,kolektif,24
1198,kontribusi,92
1199,elemen,114
1200,prof,50
1201,h,320
1202,tito,31
1203,karnavian,21
1204,ph,72
1205,ri,777
1206,alaboutjogja,1
1207,lebihbaikdirumahaja,6
1208,gotongroyong,4
1209,tumpas,5
1210,individu,36
1211,menstigmatisasi,2
1212,isolasi,172
1213,medis,785
1214,btj,2
1215,pedulilindungiap,2
1216,bukti,325
1217,kementerianbumn,4
1218,angkasapura,4
1219,patroli,503
1220,samapta,80
1221,himbau,164
1222,unjung,101
1223,new,2727
1224,lion,5
1225,air,191
1226,terbang,101
1227,mencla,49
1228,mencle,53
1229,taipan,1
1230,menghimbau,342
1231,physcal,2
1232,kangdede78,4
1233,nyawa,188
1234,pergi,209
1235,clear,9
1236,deret,6
1237,respons,72
1238,sorot,51
1239,megapolitan,10
1240,sanga,18
1241,skema,127
1242,beli,322
1243,skb,12
1244,undur,19
1245,cut,4
1246,natuna,5
1247,awak,19
1248,kapal,36
1249,ahok,10
1250,pribadi,104
1251,misteri,3
1252,pendam,1
1253,bangkal,59
1254,jhek,37
1255,kaloaran,37
1256,mon,46
1257,tade,37
1258,parlonah,37
1259,bangkalanlawancovid19,53
1260,bersamacegahcorona,41
1261,bro,121
1262,live,104
1263,united,29
1264,state,19
1265,america,17
1266,blowup,2
1267,mala,9
1268,bagus,168
1269,lebih,45
1270,styapramana,1
1271,tradisional,76
1272,kramat,8
1273,jati,17
1274,kurang,515
1275,ringan,237
1276,sertu,35
1277,munawar,2
1278,babinsa,204
1279,ds,377
1280,jenalas,2
1281,angota,456
1282,b,98
1283,janganmudik,34
1284,polresitubondo,2
1285,situbondosiap,2
1286,situbondosmartnetizen,2
1287,implementasi,77
1288,ganti,400
1289,selaras,13
1290,thomafi,1
1291,arwani,3
1292,fraksipdpri,2
1293,komisi,332
1294,pemelihan,51
1295,mudikjangan,1
1296,erti,150
1297,lesat,8
1298,diam,288
1299,ditumah,1
1300,sabarbang,1
1301,ulang,88
1302,berakt,1
1303,jubung,1
1304,jember,124
1305,cocok,22
1306,suhu,40
1307,gede,53
1308,indonesis,1
1309,kemenparekraf,11
1310,gandeng,35
1311,grab,13
1312,siap,463
1313,merosot,15
1314,strategis,83
1315,konsumsi,43
1316,menang,124
1317,now,24
1318,lokal,109
1319,tantang,91
1320,gelombang,235
1321,metropolitan,10
1322,stayhome,10
1323,garda,119
1324,depan,181
1325,cek,153
1326,invoice,9
1327,stok,41
1328,monitor,39
1329,hutang,58
1330,piutang,10
1331,lapor,391
1332,growithzahir,7
1333,mudik2020,5
1334,we,40
1335,caled,3
1336,ampo,2
1337,digital,66
1338,kuasa,94
1339,menghandle,2
1340,kartu,151
